Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word,TRUE
BNP Paribas Arbitrage Issuance B.V.,16228,bnp paribas arbitrage issuance b.v.,bnp,BNPP Easy MSCI JPN (Paris-SBF) ESG Filtered Min TE ETF,255354,89.0,bnp paribas,Paribas,169734,86.6,bnp paribas arbitrage,Paribas,169734,86.6,BNP Paribas
BNP Paribas Arbitrage SNC,8454,bnp paribas arbitrage snc,bnp,BNPP Easy HY Sri Fossil Free Ucits ETF CP,162481,89.0,bnp paribas,Paribas,169734,88.8,bnp paribas arbitrage,Paribas,169734,88.8,BNP Paribas
BNP Paribas Capital Trust VI,21799,bnp paribas capital vi,bnp,BNPP LC Eurpab ETF,162503,89.0,bnp paribas,Paribas,169734,89.6,bnp paribas capital,Paribas,20916,89.6,BNP Paribas
"BNP Paribas Finance, Inc.",22423,bnp paribas finance,bnp,BNPP LC Eurpab ETF,162503,89.8,bnp paribas,Paribas,20916,90.8,bnp paribas finance,Paribas,20916,90.8,BNP Paribas
BNP Paribas Fortis Funding,15113,bnp paribas fortis funding,bnp,BNPP Easy HY Sri Fossil Free Ucits ETF di,162482,90.2,bnp paribas,Paribas,169734,88.4,bnp paribas fortis,Paribas,20916,88.4,BNP Paribas
BNP Paribas Fortis S.A.,24934,bnp paribas fortis,bnp,BNPP LC Eurpab ETF,162503,90.0,bnp paribas,Paribas,169734,91.2,bnp paribas fortis,Paribas,20916,91.2,BNP Paribas
BNP Paribas Group,8455,bnp paribas group,bnp,BNPP LC Eurpab ETF,162503,89.2,bnp paribas,Paribas,169734,91.6,bnp paribas group,Paribas,20916,91.6,BNP Paribas
BNP Paribas Home Loan SFH,8489,bnp paribas home loan sfh,bnp,BNPP LC Eurpab ETF,162503,89.4,bnp paribas,Paribas,20916,88.8,bnp paribas home,Paribas,20916,88.8,BNP Paribas
BNP Paribas Hungaria Bank Rt,10682,bnp paribas hungaria bank rt,bnp,BNPP LC Eurpab ETF,162503,89.6,bnp paribas,Paribas,169734,88.0,bnp paribas hungaria,Paribas,20916,88.0,BNP Paribas
BNP Paribas Islamic Issuance B.V.,16383,bnp paribas islamic issuance b.v.,bnp,BNPP Easy MSCI USA (Milan) Sri S-SRS PAB 5% CP ETF,255362,89.2,bnp paribas,Paribas,169734,87.0,bnp paribas islamic,Paribas,169734,87.0,BNP Paribas
"BNP Paribas Personal Finance, S.A. de C.V., S.",15623,bnp paribas personal finance de c.v. s.,bnp,BNPP Rici Benzin (Touche Remnant) Enhanced ETC,139515,89.8,bnp paribas,Paribas,20916,86.0,bnp paribas personal,Paribas,20916,86.0,BNP Paribas
BNP Paribas Public Sector SCF,8522,bnp paribas public sector scf,bnp,BNPP LC Eurpab ETF,162503,90.2,bnp paribas,Paribas,169734,87.8,bnp paribas public,Paribas,169734,87.8,BNP Paribas
BNP Paribas Real Estate Investment Management,12298,bnp paribas real estate investment management,bnp,BNPP Rici Natural Gas (Touche Remnant) Enhanced ETC,139518,90.4,bnp paribas,Paribas,20916,85.4,bnp paribas real,Paribas,169734,85.4,BNP Paribas
BNP Paribas S.A.,10987,bnp paribas,bnp,BNPI,32892,90.6,bnp paribas,Paribas,20916,95.6,bnp paribas,Paribas,20916,95.6,BNP Paribas
BNP Paribas SA,5072,bnp paribas,bnp,BNPI,32892,90.6,bnp paribas,Paribas,20916,95.6,bnp paribas,Paribas,20916,95.6,BNP Paribas
BNP Paribas SA,21915,bnp paribas,bnp,BNPI,32892,90.6,bnp paribas,Paribas,20916,95.6,bnp paribas,Paribas,20916,95.6,BNP Paribas
BNP Paribas SA,22119,bnp paribas,bnp,BNPI,32892,90.6,bnp paribas,Paribas,20916,95.6,bnp paribas,Paribas,20916,95.6,BNP Paribas
BNP Paribas SA,9122,bnp paribas,bnp,BNPI,32892,90.6,bnp paribas,Paribas,20916,95.6,bnp paribas,Paribas,20916,95.6,BNP Paribas
BNP Paribas SA,3309,bnp paribas,bnp,BNPI,32892,90.6,bnp paribas,Paribas,20916,95.6,bnp paribas,Paribas,20916,95.6,BNP Paribas
BNP Paribas SA,10343,bnp paribas,bnp,BNPI,32892,90.6,bnp paribas,Paribas,20916,95.6,bnp paribas,Paribas,20916,95.6,BNP Paribas
BNP Paribas SA,22130,bnp paribas,bnp,BNPI,32892,90.6,bnp paribas,Paribas,20916,95.6,bnp paribas,Paribas,20916,95.6,BNP Paribas
BNP Paribas SA (New York Branch),22296,bnp paribas (new york branch),bnp,BNPP Rici Benzin (Touche Remnant) Enhanced ETC,139515,88.6,bnp paribas,Paribas,20916,87.8,bnp paribas (new,Paribas,169734,87.8,BNP Paribas
BNP Paribas US Structured MTN Program LLC,21820,bnp paribas us structured mtn program,bnp,BNPP Easy MSCI Emerg ESG Filtered Min T,162488,89.4,bnp paribas,Paribas,20916,86.4,bnp paribas us,Paribas,20916,86.4,BNP Paribas
"BNP Paribas, S.A. de C.V., SOFOM",15639,bnp paribas de c.v. sofom,bnp,BNPP LC Eurpab ETF,162503,89.4,bnp paribas,Paribas,20916,88.8,bnp paribas de,Paribas,169734,88.8,BNP Paribas
BPE Finance International Limited,14731,bpe finance international,bpe,BPE di Vicenza Convertible,91663,91.0,bpe finance,Europe Finance et Industrie,17292,85.19999999999999,bpe finance international,International,206505,93.6,BPE
BR Malls International Finance Limited,4157,br malls international finance,br,Petrobras Inernational Finance Company,11144,94.8,br malls,LS,115894,82.4,br malls international,International,206505,92.0,BR Malls
BRED BANQUE POPULAIRE S.A.,8408,bred banque populaire,bred,Bredero Properties,45584,91.2,bred banque,Generale Banque VVPR,151599,77.4,bred banque populaire,Banque Populaire,106355,97.2,
BROOKFIELD FINANCE I (UK) PLC,9950,brookfield finance i (uk),brookfield,Brookfield Finance 4.625 Subord NTS,135935,94.0,brookfield finance,Brookfield Finance 4.625 Subord NTS,135935,94.0,brookfield finance i,Brookfield Finance 4.625 Subord NTS,135935,90.0,Brookfield
BROOKFIELD FINANCE LLC,24468,brookfield finance,brookfield,Brookfield On,913,95.4,brookfield finance,Brookfield Finance 4.625 Subord NTS,135935,93.6,brookfield finance,Brookfield Finance 4.625 Subord NTS,135935,93.6,Brookfield
BROOKFIELD INCORPORACOES S.A.,4018,brookfield incorporacoes,brookfield,Brookfield Homes,59284,94.0,brookfield incorporacoes,Brookfield On,913,86.60000000000001,brookfield incorporacoes,Brookfield On,913,86.60000000000001,Brookfield
BSES Infrastructure Finance Limited,11511,bses infrastructure finance,bses,Bses GDR Repr 3 Ordinary,241324,89.4,bses infrastructure,Srei Infrastructure Finance,104776,89.8,bses infrastructure finance,Srei Infrastructure Finance,104776,93.0,BSES
BWP MANAGEMENT LIMITED,3578,bwp management,bwp,BWP Trust (Frankfurt),268696,89.6,bwp management,Management Trust,19747,96.6,bwp management,Management Trust,19747,96.6,
Banca Popolare di Ancona SpA,12190,banca popolare di ancona spa,banca,Banca Popolare di Lajatico Scpa,91372,97.0,banca popolare,Banca Popolare di Novara,15144,97.0,banca popolare di,Banca Popolare di Novara,15144,97.0,Banca Popolare di
Banca Popolare di Aprilia - S.p.A.,12246,banca popolare di aprilia -,banca,Banca Popolare di Bari ORS,91369,96.6,banca popolare,Banca Popolare di Bari ORS,91369,96.6,banca popolare di,Banca Popolare di Bari ORS,91369,96.6,Banca Popolare di
Banca Popolare di Lanciano e Sulmona SpA,12222,banca popolare di lanciano e sulmona spa,banca,Banca Popolare di Puglia E Basilicata,91373,94.6,banca popolare,Banca Popolare di Puglia E Basilicata,91373,94.6,banca popolare di,Banca Popolare di Cividale Scpa,91370,94.6,Banca Popolare di
Banca Popolare di Lodi Investor Trust III,22005,banca popolare di lodi investor iii,banca,Banca Popolare di Sondrio (XETRA),310223,94.8,banca popolare,Banca Popolare di Sondrio (XETRA),310223,94.8,banca popolare di,Banca Popolare di Sondrio (XETRA),310223,94.8,Banca Popolare di
Banca Popolare di Mantova SpA,12238,banca popolare di mantova spa,banca,Banca Popolare di Novara,15144,97.4,banca popolare,Banca Popolare di Novara,15138,97.4,banca popolare di,Banca Popolare di Novara,15138,97.4,Banca Popolare di
Banca Popolare di Ravenna SpA,12198,banca popolare di ravenna spa,banca,Banca Popolare di Lajatico Scpa,91372,96.0,banca popolare,Banca Popolare di Lajatico Scpa,91372,96.0,banca popolare di,Banca Popolare di Lajatico Scpa,91372,96.0,Banca Popolare di
Banca Popolare di Verona - S.Geminiano e S.Pro,12099,banca popolare di verona - s.geminiano e s.pro,banca,Banca Popolare di (XETRA) Milano,284538,93.8,banca popolare,Banca Popolare di Verona (XETRA),310144,93.8,banca popolare di,Banca Popolare di (XETRA) Milano,284538,93.8,Banca Popolare di
Bank of China (Canada),5156,bank of china (canada),bank,Bank of China 'A',87355,95.4,bank of,Bank of China 'A',87355,95.4,bank of china,Bank of China 'A',87355,95.4,Bank of China
Bank of China (Hong Kong) Limited,6484,bank of china (hong kong),bank,Bank of China 'H' (SZS),219486,94.2,bank of,Bank of China 'H' (SZS),219486,94.2,bank of china,Bank of China 'H' (SZS),219486,94.2,Bank of China
Bank of China (Hong Kong) Limited,10356,bank of china (hong kong),bank,Bank of China 'H' (SZS),219486,94.2,bank of,Bank of China 'H' (SZS),219486,94.2,bank of china,Bank of China 'H' (SZS),219486,94.2,Bank of China
Bank of China (New Zealand) Limited,16721,bank of china (new zealand),bank,Trust Bank New Zealand,40244,94.8,bank of,Bank of New England,70359,94.8,bank of china,Bank of China 'H' (XETRA),290651,93.8,Bank of China
Bank of China Group Investment Limited,10401,bank of china group investment,bank,Amman Bank for Investment,142399,93.0,bank of,Bank of Ireland Group,87593,92.6,bank of china,Bank of China 'H' (XETRA),290651,92.4,Bank of China
Bank of China Limited (Qatar Financial Centre,17115,bank of china (qatar financial centre,bank,Bank of the James Financial Group,135764,93.2,bank of,Bank of the James Financial Group,135764,93.2,bank of china,Bank of China 'H' (Vienna Stock Exchange),255168,92.4,Bank of China
"Bank of China Samsung Life Insurance Co., Ltd.",7263,bank of china samsung life insurance,bank,Bankers Fidelity Life Insurances,70373,93.0,bank of,Bank of San Francisco,128287,92.0,bank of china,Bank of China 'H' (XETRA),290651,91.8,Bank of China
Bank of China Taipei Branch,18505,bank of china taipei branch,bank,Bank of Hawaii DRC Each,184657,94.4,bank of,Bank of Hawaii DRC Each,184657,94.4,bank of china,Bank of China 'H',162413,93.6,Bank of China
Banpu Public Company Limited,18084,banpu public company,banpu,Banpu Public ADR 1:20,184666,93.6,banpu public,Banpu Public ADR 1:20,184666,93.6,banpu public company,Public Company Limited,121685,96.4,
Banque Populaire Lorraine Champagne,8467,banque populaire lorraine champagne,banque,Banque Populaire,106355,92.6,banque populaire,Banque Populaire,106355,92.6,banque populaire lorraine,Banque Populaire,106355,92.6,BANQUE POPULAIRE
Barclaycard Funding PLC,9074,barclaycard funding,barclaycard,Car,24933,85.4,barclaycard funding,Car,24933,85.4,barclaycard funding,Car,24933,85.4,Barclays
Barclays Bank Delaware,22781,barclays bank delaware,barclays,Barclays Bank ADR 1:1,193303,94.8,barclays bank,Barclays Bank ADR 1:1,193303,94.8,barclays bank delaware,Barclays,124439,90.6,Barclays
Barclays Bank PLC (Australian Branch),3441,barclays bank (australian branch),barclays,Barclays Bank ADR 1:1,193303,92.6,barclays bank,Barclays Bank ADR 1:1,193303,92.6,barclays bank (australian,Barclays,124439,87.8,Barclays
Barclays Bank Zambia Plc,25650,barclays bank zambia,barclays,Barclays Bank ADR 1:1,193303,94.6,barclays bank,Barclays Bank ADR 1:1,193303,94.6,barclays bank zambia,Barclays,124439,91.4,Barclays
Barclays Bank of South Africa Ltd,25580,barclays bank of south africa,barclays,Barclays Bank Units D ADR 1:1,193304,93.2,barclays bank,Barclays Bank Units D ADR 1:1,193304,93.2,barclays bank of,Barclays,124439,88.6,Barclays
Barclays Capital (Cayman) Ltd,14683,barclays capital (cayman),barclays,USB Barclays 5Y ETF (Milan),292672,92.4,barclays capital,Barclays Capital Ipath Short Long Enhanced MSCI EAFE Index,142705,90.2,barclays capital (cayman),Barclays,124439,89.6,Barclays
Barclays Financial LLC,21990,barclays financial,barclays,Barclays Cedear,148620,93.4,barclays financial,Financial,17539,93.4,barclays financial,Financial,17539,93.4,Barclays
Barclays Investments & Loans (India) Ltd.,11531,barclays investments & loans (india),barclays,Barclays Global Investment Ireland,165129,93.8,barclays investments,Investments,42565,89.4,barclays investments &,Investments,42565,89.4,Barclays
Barclays Overseas Investment Company B.V.,16169,barclays overseas investment company b.v.,barclays,Barclays Global Investment Ireland,165129,93.4,barclays overseas,Barclays,124439,86.6,barclays overseas investment,Investment Trust,26824,87.8,Barclays
Barclays US Funding LLC,22168,barclays us funding,barclays,Barclays ADR (London),241255,93.0,barclays us,Barclays,124439,91.8,barclays us funding,Barclays,124439,91.8,Barclays
Block Financial LLC,21399,block financial,block,Block A,133115,92.8,block financial,Financial Trust,64753,95.0,block financial,Financial Trust,64753,95.0,block
Brookfield BRP Holdings (Canada) Inc.,5222,brookfield brp holdings (canada),brookfield,Brookfield Business A,80451,92.8,brookfield brp,Broo,81889,84.4,brookfield brp holdings,Trust Holdings,51235,88.0,Brookfield
Brookfield Energia Renovavel S.A.,4464,brookfield energia renovavel,brookfield,Brookfield Renewable Partners,80347,93.4,brookfield energia,Energia,1580,88.0,brookfield energia renovavel,Energia,34315,88.0,Brookfield
Brookfield Finance Inc.,5358,brookfield finance,brookfield,Brookfield On,913,95.4,brookfield finance,Brookfield Finance 4.625 Subord NTS,135935,93.6,brookfield finance,Brookfield Finance 4.625 Subord NTS,135935,93.6,Brookfield
Brookfield Infrastructure Holdings (Canada) In,5154,brookfield infrastructure holdings (canada) in,brookfield,Brookfield Infrastructure A,133860,94.8,brookfield infrastructure,Brookfield Infrastructure A,133860,94.8,brookfield infrastructure holdings,Brookfield Infrastructure A,133860,91.6,Brookfield
Brookfield Power Corporation,5114,brookfield power corporation,brookfield,Brookfield Business Corporation Dummy,156750,94.8,brookfield power,Brookfield On,913,86.2,brookfield power corporation,AB Corporation,23877,91.2,Brookfield
Brookfield Power Inc,4993,brookfield power,brookfield,Brookfield On,913,96.6,brookfield power,Brookfield On,913,90.2,brookfield power,Brookfield On,913,90.2,Brookfield
Brookfield Property Finance ULC,5419,brookfield property finance ulc,brookfield,Brookfield Property Partners Unit,203465,95.6,brookfield property,Brookfield Property Partners Unit,203465,95.6,brookfield property finance,Property Trust,49901,88.2,Brookfield
Brookfield US Holdings Inc.,5325,brookfield us holdings,brookfield,Brookfield Homes Limited,5892,94.8,brookfield us,Brookfield Business A,80451,88.4,brookfield us holdings,Holdings,206120,90.6,Brookfield
C&D Real Estate Corporation Limited,6464,c&d real estate corporation,c&d,C&D International Investment Group (Temp),165475,89.4,c&d real,Real Security,131585,85.2,c&d real estate,Real Estate,3531,91.6,
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL CEN,8497,caisse regionale de credit agricole mutuel cen,caisse,Caisse Registered Cred Agriculture Mutual Tourain Poitou,91719,93.4,caisse regionale,Caisse Regionale Credit,15597,93.4,caisse regionale de,Caisse Regionale Credit,165486,84.6,CAISSE regionale
CAPITAL AUTOMOTIVE L.P.,22322,capital automotive,capital,Security Capital Atlantic,200279,94.2,capital automotive,Capital A,108466,93.4,capital automotive,Capital A,108466,93.4,
CBA CAPITAL AUSTRALIA LIMITED,3351,cba capital australia,cba,CBA Florida,53016,90.0,cba capital,Security Capital,76742,90.0,cba capital australia,Capital A,108466,92.0,
CCB International (Holdings) Limited,10402,ccb international (holdings),ccb,CCBT Financial (Berlin),300094,92.6,ccb international,TCC International Holdings,30848,93.8,ccb international (holdings),SA SA International Holdings,104062,93.6,CCB
"CCH I Holdings, LLC",22027,cch i holdings,cch,Vacchi PN,153172,90.4,cch i,Sunac China Holdings,104912,79.19999999999999,cch i holdings,Holdings,206120,94.6,CCH International 
"CCO Holdings, LLC",21852,cco holdings,cco,Raccoon Holdings,113010,97.2,cco holdings,Trust Holdings,114528,96.0,cco holdings,Trust Holdings,114528,96.0,CCO
CDL Properties Ltd,17791,cdl properties,cdl,CDL Hospitality Trusts,115456,90.0,cdl properties,Fiscal Properties,47180,91.2,cdl properties,Fiscal Properties,47180,91.2,
CEMEX MATERIALS LLC,23906,cemex materials,cemex,Cemex Montenegro,91792,93.0,cemex materials,Chemx Materials,82175,93.0,cemex materials,Chemx Materials,82175,93.0,cemex
CFR International SPA,5782,cfr international spa,cfr,CFR Corporacion Pharmaceutica,6392,89.6,cfr international,International,206505,95.2,cfr international spa,International,206505,95.2,
CFR PHARMACEUTICALS S.A.,5776,cfr pharmaceuticals,cfr,CFR Corporacion Pharmaceutica,6392,94.2,cfr pharmaceuticals,GFR Pharmaceuticals,17952,95.0,cfr pharmaceuticals,GFR Pharmaceuticals,17952,95.0,
"CHINA RAILWAY 14TH BUREAU GROUP CO., LTD.",6436,china railway 14th bureau group,china,China Railway Group 'A',87546,94.0,china railway,China Railway Group 'H',162542,94.0,china railway 14th,INA,65640,83.6,China Railway
"CHINA RAILWAY 16TH BUREAU GROUP CO., LTD.",6673,china railway 16th bureau group,china,China Railway Group 'H',162542,94.0,china railway,China Railway Group 'A',87546,94.0,china railway 16th,INA,65640,83.6,China Railway
CHINA RAILWAY 20 BUREAU GROUP CORPORATION,6737,china railway 20 bureau group corporation,china,China Reinsurance Group Corporation Class B,157226,93.8,china railway,China Railway Group 'A',87546,93.2,china railway 20,China Railway Group 'A',87546,83.60000000000001,China Railway
CHINA RAILWAY CONSTRUCTION REAL ESTATE GROUP C,6926,china railway construction real estate group c,china,China Railway Construction Heavy Industry 'A',88302,95.0,china railway,China Railway Construction Heavy Industry 'A',88302,95.0,china railway construction,China Railway Construction Heavy Industry 'A',88302,95.0,China Railway
"CHINA RAILWAY REAL ESTATE GROUP CO., LTD.",7003,china railway real estate group,china,China Greenland Broad Greenstate Group,99581,94.4,china railway,China Railway Group 'A',87546,94.0,china railway real,Real,21480,84.6,China Railway
CHINA RAILWAY RESOURCES HUITUNG LIMITED,10492,china railway resources huitung,china,China Metal Resources Utilization,99614,94.4,china railway,China Railway Group 'H',162542,94.0,china railway resources,Galway Resources,8121,88.0,China Railway
"CHINA RAILWAY TUNNEL GROUP CO., LTD.",7260,china railway tunnel group,china,China Railway Group 'A',87546,95.6,china railway,China Railway Group 'H',162542,95.6,china railway tunnel,NEL,106919,84.2,China Railway
CI Investments Inc,5164,ci investments,ci,Cigna Investments Securities,143310,98.0,ci investments,Investments,42565,97.6,ci investments,Investments,42565,97.6,
CIMB Bank Berhad,17848,cimb bank berhad,cimb,CIMB Investment Bank Berhad,25160,94.8,cimb bank,Trust Bank,86763,88.0,cimb bank berhad,Security Bank,57405,88.0,CIMB Bank
CIMB Bank Berhad,10392,cimb bank berhad,cimb,CIMB Investment Bank Berhad,25160,94.8,cimb bank,Trust Bank,86763,88.0,cimb bank berhad,Security Bank,57405,88.0,CIMB Bank
CIMB Bank Berhad,15806,cimb bank berhad,cimb,CIMB Investment Bank Berhad,25160,94.8,cimb bank,Trust Bank,86763,88.0,cimb bank berhad,Security Bank,57405,88.0,CIMB Bank
CIMB Islamic Bank Berhad,15892,cimb islamic bank berhad,cimb,CIMB Investment Bank Berhad,25160,95.6,cimb islamic,IMB,35547,84.4,cimb islamic bank,ICB Islamic Bank,83752,90.2,CIMB Bank
"CITGO HOLDING, INC.",21244,citgo holding,citgo,Citgo Petroleum,63580,91.4,citgo holding,Chigo Holding,25070,92.0,citgo holding,Chigo Holding,25070,92.0,CITGO
CITIBANK EUROPE PUBLIC LIMITED COMPANY,10962,citibank europe public company,citibank,Citibank Mexico SA,173141,91.6,citibank europe,Europe,17350,86.6,citibank europe public,Public,29457,86.6,Citigroup
"CITIBANK, N.A.",3465,citibank n.a.,citibank,Citibank Mexico SA,173141,92.8,citibank n.a.,Trust Bank,86763,89.4,citibank n.a.,Trust Bank,86763,89.4,Citigroup
"CJ 4DPLEX Co.,Ltd",14538,cj 4dplex co.ltd,cj,CJ (Detached),177957,89.6,cj 4dplex,DPL,59709,86.4,cj 4dplex co.ltd,DPL,59709,86.4,CJ
CJ CAPITAL SDN. BHD.,15900,cj capital sdn. bhd.,cj,CJL Capital Inc,6547,93.0,cj capital,Capital Trust,99352,90.4,cj capital sdn.,Security Capital,76742,90.4,CJ
"CJ ENGINEERING & CONSTRUCTION CO., LTD.",14341,cj engineering & construction,cj,CJW International,117834,90.4,cj engineering,KCC Engineering and Construction,120155,92.2,cj engineering &,KCC Engineering and Construction,120155,88.2,CJ
CJ Engineering  & Construction Corp,14305,cj engineering  & construction corp,cj,CJW International,117834,89.2,cj engineering,Kepco Engineering and Construction Company,115820,90.6,cj engineering ,KCC Engineering and Construction,120155,90.6,CJ
CJ FOODVILLE CORP.,14519,cj foodville corp.,cj,CJ Seafood,117833,90.0,cj foodville,DVI,53878,85.8,cj foodville corp.,DVI,53878,85.8,CJ
CJ Global Holdings Limited,10459,cj global holdings,cj,CJ Land Holdings (Berlin),285323,93.0,cj global,Global Securities,100799,90.0,cj global holdings,Global Holdings,54693,98.2,CJ Global
CJ LOGISTICS ASIA PTE. LTD,17974,cj logistics asia pte.,cj,CJ Logistics,115501,94.2,cj logistics,CJ Logistics,115501,94.2,cj logistics asia,CJ Logistics,115501,94.2,CJ
"CJ LiveCity Co.,Ltd.",14620,cj livecity co.ltd.,cj,CJL Capital,6546,89.4,cj livecity,City,136121,87.0,cj livecity co.ltd.,City,136121,87.0,CJ
"CJ OliveNetworks Co., Ltd",14482,cj olivenetworks,cj,CJ Internet,33392,91.8,cj olivenetworks,Network Security,66841,92.2,cj olivenetworks,Network Security,66841,92.2,CJ
CK HUTCHISON CAPITAL SECURITIES (17) LIMITED,10576,ck hutchison capital (17),ck,CK Hutchison Holdings ADR 1:1,185312,92.6,ck hutchison,CK Hutchison Holdings ADR 1:1,185312,92.6,ck hutchison capital,Capital Limited,125283,88.8,CK HUTCHISON
CK HUTCHISON EUROPE FINANCE (18) LIMITED,15014,ck hutchison europe finance (18),ck,CK Hutchison Holdings ADR 1:1,185312,92.4,ck hutchison,CK Hutchison Holdings ADR 1:1,185312,92.4,ck hutchison europe,Europe,17350,86.4,CK HUTCHISON
CK HUTCHISON FINANCE (16) (II) LIMITED,14991,ck hutchison finance (16) (ii),ck,CK Hutchison Holdings ADR 1:1,185312,92.2,ck hutchison,CK Hutchison Holdings ADR 1:1,185312,92.2,ck hutchison finance,Hutchison Financial,26797,85.0,CK HUTCHISON
CK HUTCHISON FINANCE (16) LIMITED,14981,ck hutchison finance (16),ck,CK Hutchison Holdings ADR 1:1,185312,93.4,ck hutchison,CK Hutchison Holdings ADR 1:1,185312,93.4,ck hutchison finance,Hutchison Financial,26797,85.8,CK HUTCHISON
CK HUTCHISON INTERNATIONAL (16) LIMITED,14992,ck hutchison international (16),ck,Hickson International,47817,94.6,ck hutchison,CK Hutchison Holdings (Non-NASDAQ OTC),244711,92.2,ck hutchison international,International,206505,91.8,CK HUTCHISON
CK HUTCHISON INTERNATIONAL (17) (II) LIMITED,15007,ck hutchison international (17) (ii),ck,Hickson International,47817,93.4,ck hutchison,CK Hutchison Holdings (Non-NASDAQ OTC),244711,91.4,ck hutchison international,International,206505,90.6,CK HUTCHISON
CK HUTCHISON INTERNATIONAL (17) LIMITED,15000,ck hutchison international (17),ck,Hickson International,47817,94.6,ck hutchison,CK Hutchison Holdings (Non-NASDAQ OTC),244711,92.2,ck hutchison international,International,206505,91.8,CK HUTCHISON
CK HUTCHISON INTERNATIONAL (19) (II) LIMITED,15034,ck hutchison international (19) (ii),ck,Hickson International,47817,93.4,ck hutchison,CK Hutchison Holdings (Non-NASDAQ OTC),244711,91.4,ck hutchison international,International,206505,90.6,CK HUTCHISON
CK HUTCHISON INTERNATIONAL (20) LIMITED,15040,ck hutchison international (20),ck,Hickson International,47817,94.6,ck hutchison,CK Hutchison Holdings (Non-NASDAQ OTC),244711,92.2,ck hutchison international,International,206505,91.8,CK HUTCHISON
CK Hutchison Group Telecom Finance S.A.,15396,ck hutchison group telecom finance,ck,Blockchain Group Company,24770,92.4,ck hutchison,CK Hutchison Holdings,97127,92.4,ck hutchison group,Securities Group,21982,85.2,CK HUTCHISON
CK Hutchison International (19) Limited,15030,ck hutchison international (19),ck,Hickson International,47817,94.6,ck hutchison,CK Hutchison Holdings (Non-NASDAQ OTC),244711,92.2,ck hutchison international,International,206505,91.8,CK HUTCHISON
CK Hutchison International (21) Limited,15049,ck hutchison international (21),ck,Hickson International,47817,94.6,ck hutchison,CK Hutchison Holdings (Non-NASDAQ OTC),244711,92.2,ck hutchison international,International,206505,91.8,CK HUTCHISON
CK PROPERTY FINANCE (MTN) LIMITED,14989,ck property finance (mtn),ck,Kalleback Property Invest,120105,92.8,ck property,Kalleback Property Invest,120105,92.8,ck property finance,Property Trust,49901,89.6,CK HUTCHISON
CLAAS FINANCIAL SERVICES S.A.S.,8619,claas financial services,claas,Claas OHG,15978,87.2,claas financial,Financial,17539,91.0,claas financial services,Financial Services,109572,97.2,
CNA Holdings LLC,21056,cna holdings,cna,CNA Gallo (London),231848,90.6,cna holdings,AG Holdings,44740,96.0,cna holdings,AG Holdings,44740,96.0,CNA
CNOOC Finance (2003) Limited,25211,cnooc finance (2003),cnooc,CNOOC (Frankfurt),269193,90.8,cnooc finance,CNOOC,97091,88.0,cnooc finance (2003),CNOOC,97091,88.0,CNOOC
CNOOC Finance (2011) Limited,25231,cnooc finance (2011),cnooc,CNOOC (Frankfurt),269193,90.8,cnooc finance,CNOOC,97091,88.0,cnooc finance (2011),CNOOC,97091,88.0,CNOOC
CNOOC Finance (2012) Limited,25253,cnooc finance (2012),cnooc,CNOOC (Frankfurt),269193,90.8,cnooc finance,CNOOC,97091,88.0,cnooc finance (2012),CNOOC,97091,88.0,CNOOC
CNOOC Finance (2013) Limited,25290,cnooc finance (2013),cnooc,CNOOC (Frankfurt),269193,90.8,cnooc finance,CNOOC,97091,88.0,cnooc finance (2013),CNOOC,97091,88.0,CNOOC
CNOOC NEXEN FINANCE (2014) ULC,5294,cnooc nexen finance (2014) ulc,cnooc,CNOOC (XETRA),285368,89.4,cnooc nexen,Nexen,159904,85.8,cnooc nexen finance,CNOOC,97091,85.8,CNOOC
COOPER-STANDARD AUTOMOTIVE INC.,21439,cooper-standard automotive,cooper-standard,Standard,122995,89.4,cooper-standard automotive,Standard Automotive,57712,96.8,cooper-standard automotive,Standard Automotive,57712,96.8,
COTT HOLDINGS INC.,24178,cott holdings,cott,Cottco Holdings,125429,98.6,cott holdings,Jeffcott Holdings,2352,97.4,cott holdings,Jeffcott Holdings,2352,97.4,cott
CSN Resources S.A.,4231,csn resources,csn,CSN Mineracao On,80527,89.6,csn resources,CN Resources,128841,92.8,csn resources,CN Resources,128841,92.8,
Caisse Regionale de Credit Agricole Mutuel Nor,8494,caisse regionale de credit agricole mutuel nor,caisse,Caisse Registered Cred Agriculture Mutual Tourain Poitou,91719,93.8,caisse regionale,Caisse Regionale Credit,15597,93.4,caisse regionale de,Caisse Regionale Credit,165484,84.6,CAISSE regionale
Caisse Regionale de Credit Agricole Mutuel Pyr,8476,caisse regionale de credit agricole mutuel pyr,caisse,Caisse Regionale Credit,165484,93.4,caisse regionale,Caisse Regionale Credit,15597,93.4,caisse regionale de,Caisse Regionale Credit,165487,84.6,CAISSE regionale
Caisse Regionale de Credit Agricole Mutuel de,8518,caisse regionale de credit agricole mutuel de,caisse,Caisse Regionale Credit,165487,93.6,caisse regionale,Caisse Regionale Credit,165487,93.6,caisse regionale de,Caisse Regionale Credit,165486,84.8,CAISSE regionale
